ticket_id,workstream,title,status,assignee_role,created_date,status_changed_date,due_date,blocked_by
PLT-201,platform,Service mesh baseline configuration,Done,Platform engineer,2026-06-10,2026-07-08,2026-07-10,
PLT-202,platform,Secrets rotation for the shared cluster,Done,Platform engineer,2026-06-12,2026-07-13,2026-07-15,
PLT-203,platform,Ingress rules for the integration namespace,In progress,Platform engineer,2026-06-16,2026-07-23,2026-08-07,
PLT-204,platform,Retire the v1 gateway route,Done,Platform lead,2026-06-19,2026-07-21,2026-07-24,
PLT-205,platform,Observability dashboards for shared services,In review,Platform engineer,2026-06-23,2026-07-24,2026-08-14,
PLT-206,platform,Autoscaling policy for the batch node pool,In progress,Platform engineer,2026-07-01,2026-07-26,2026-08-21,
PLT-207,platform,Certificate renewal runbook,In progress,Platform engineer,2026-07-06,2026-07-25,2026-08-28,
PLT-208,platform,Publish v2 interface contract,In progress,Platform lead,2026-06-26,2026-07-24,2026-07-24,
PLT-209,platform,Rate limiting on the shared API tier,In progress,Platform engineer,2026-07-14,2026-07-31,2026-09-04,
PLT-210,platform,Decommission the legacy build agents,Open,Platform engineer,2026-07-22,2026-07-22,2026-09-11,
INT-110,integration,Message envelope schema agreed,Done,Integration engineer,2026-06-15,2026-07-09,2026-07-10,
INT-111,integration,Retry and back-off policy,Done,Integration engineer,2026-06-18,2026-07-16,2026-07-17,
INT-112,integration,Error taxonomy for downstream faults,In progress,Integration engineer,2026-06-20,2026-07-22,2026-08-14,
INT-113,integration,Stub harness for contract-first development,In review,Integration engineer,2026-06-24,2026-07-24,2026-07-31,
INT-114,integration,Field mapping against the v2 interface contract,Blocked,Integration lead,2026-06-29,2026-07-06,2026-07-31,PLT-208
INT-115,integration,Idempotency keys on the inbound endpoint,Blocked,Integration engineer,2026-07-02,2026-07-08,2026-08-07,PLT-208
INT-116,integration,Payload size limits and chunking,In progress,Integration engineer,2026-07-10,2026-07-24,2026-08-21,
INT-117,integration,Replay tooling for failed batches,Open,Integration engineer,2026-07-15,2026-07-15,2026-09-04,
INT-118,integration,Correlation ids end to end,In progress,Integration engineer,2026-07-21,2026-07-30,2026-08-28,
INT-119,integration,Contract test suite scaffolding,Open,Integration engineer,2026-07-28,2026-07-28,2026-09-11,
DAT-301,data-migration,Source profiling for the customer tables,Done,Data engineer,2026-06-11,2026-07-10,2026-07-10,
DAT-302,data-migration,Mapping document for reference data,Done,Data engineer,2026-06-14,2026-07-17,2026-07-17,
DAT-303,data-migration,Referential integrity fixes on the account tables,In progress,Data engineer,2026-06-17,2026-07-22,2026-08-14,
DAT-304,data-migration,Rollback rehearsal for the cutover window,Open,Data migration lead,2026-06-21,2026-07-13,2026-08-21,
DAT-305,data-migration,Dry run two on the full data set,In progress,Data engineer,2026-06-28,2026-07-15,2026-08-07,
DAT-306,data-migration,Reconciliation report for post-cutover checks,Open,Data engineer,2026-07-03,2026-07-03,2026-08-28,
DAT-307,data-migration,Archive strategy for superseded records,In review,Data engineer,2026-07-09,2026-07-20,2026-08-14,
DAT-308,data-migration,Performance tuning on the load step,In progress,Data engineer,2026-07-16,2026-07-29,2026-09-04,
DAT-309,data-migration,Data quality gate in the load pipeline,Open,Data engineer,2026-07-23,2026-07-23,2026-09-11,
DAT-310,data-migration,Cutover runbook first draft,In progress,Data migration lead,2026-07-30,2026-08-02,2026-09-18,
REP-401,reporting,Retire the legacy extract job,Done,Reporting engineer,2026-06-22,2026-07-09,2026-07-10,
REP-402,reporting,Nightly refresh window reduced,Done,Reporting engineer,2026-06-25,2026-07-10,2026-07-10,
REP-403,reporting,Semantic layer for the finance dataset,In progress,Reporting engineer,2026-07-08,2026-07-15,2026-08-14,
REP-404,reporting,Regional breakdown on the volumes report,Open,Reporting engineer,2026-07-15,2026-07-15,2026-08-28,
REP-405,reporting,Add prior-period comparison to the volumes report,Open,Reporting engineer,2026-07-16,2026-07-16,2026-08-28,
REP-406,reporting,Row-level access rules for the finance dataset,In progress,Reporting engineer,2026-07-16,2026-07-23,2026-08-21,
REP-407,reporting,Export to spreadsheet on the operations report,Open,Reporting engineer,2026-07-17,2026-07-17,2026-09-04,
REP-408,reporting,Scheduled delivery for the weekly pack,Open,Reporting engineer,2026-07-20,2026-07-20,2026-09-04,
REP-409,reporting,Fix duplicate rows in the daily summary,Done,Reporting engineer,2026-07-14,2026-07-20,2026-07-24,
REP-410,reporting,Correct the timezone on the activity feed,Done,Reporting engineer,2026-07-14,2026-07-18,2026-07-24,
